Name,HOMFLY
9_25,(1+ v^2-3*v^4+ 3*v^6-v^8)+ (1-4*v^4+ 3*v^6)*z^2+ (-v^2-2*v^4)*z^4
9_26,(v^(-6)-3*v^(-4)+ 3*v^(-2))+ (v^(-6)-5*v^(-4)+ 6*v^(-2)-2)*z^2+ (-2*v^(-4)+ 4*v^(-2)-1)*z^4+ (v^(-2))*z^6
9_27,(v^(-2)-2+ 3*v^2-v^4)+ (2*v^(-2)-6+ 5*v^2-v^4)*z^2+ (v^(-2)-4+ 2*v^2)*z^4+ (-1)*z^6
9_28,(-1+ 5*v^2-4*v^4+ v^6)+ (-2+ 7*v^2-5*v^4+ v^6)*z^2+ (-1+ 4*v^2-2*v^4)*z^4+ (v^2)*z^6
9_29,(-2*v^(-4)+ 5*v^(-2)-3+ v^2)+ (-2*v^(-4)+ 7*v^(-2)-5+ v^2)*z^2+ (-v^(-4)+ 4*v^(-2)-2)*z^4+ (v^(-2))*z^6
9_30,(-v^(-4)+ 4*v^(-2)-4+ 2*v^2)+ (-v^(-4)+ 5*v^(-2)-7+ 2*v^2)*z^2+ (2*v^(-2)-4+ v^2)*z^4+ (-1)*z^6
9_31,(-1+ 4*v^2-2*v^4)+ (-2+ 7*v^2-4*v^4+ v^6)*z^2+ (-1+ 4*v^2-2*v^4)*z^4+ (v^2)*z^6
9_32,(v^(-6)-2*v^(-4)+ v^(-2)+ 1)+ (v^(-6)-4*v^(-4)+ 3*v^(-2)-1)*z^2+ (-2*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-2))*z^6
9_33,(-v^(-4)+ 2*v^(-2))+ (-v^(-4)+ 4*v^(-2)-3+ v^2)*z^2+ (2*v^(-2)-3+ v^2)*z^4+ (-1)*z^6
9_34,(v^(-2)-1+ v^2)+ (-v^(-4)+ 3*v^(-2)-4+ v^2)*z^2+ (v^(2)-3+ 2*v^(-2))*z^4+ (-1)*z^6
9_35,(3*v^6-v^8-v^10)+ (v^2+ 2*v^4+ 3*v^6+ v^8)*z^2
9_36,(-2*v^(-8)+ 4*v^(-6)-3*v^(-4)+ 2*v^(-2))+ (-v^(-8)+ 6*v^(-6)-5*v^(-4)+ 3*v^(-2))*z^2+ (2*v^(-6)-4*v^(-4)+ v^(-2))*z^4+ (-v^(-4))*z^6
9_37,(v^(-4)-2+ 2*v^2)+ (-2*v^(-2)-1+ v^2-v^4)*z^2+ (1+ v^2)*z^4
9_38,(4*v^6-3*v^8)+ (v^4+ 7*v^6-v^8-v^10)*z^2+ (v^4+ 3*v^6+ v^8)*z^4
9_39,(-v^(-8)+ 2*v^(-6)-2*v^(-4)+ 2*v^(-2))+ (3*v^(-6)-3*v^(-4)+ v^(-2)+ 1)*z^2+ (-2*v^(-4)-v^(-2))*z^4
9_40,(2-2*v^2+ v^4)+ (-2*v^4+ v^6)*z^2+ (-1+ 2*v^2-2*v^4)*z^4+ (v^2)*z^6
9_41,(v^(-6)-3*v^(-4)+ 3*v^(-2))+ (-3*v^(-4)+ 4*v^(-2)-v^2)*z^2+ (2*v^(-2)+ 1)*z^4
9_42,(2*v^(-2)-3+ 2*v^2)+ (v^(-2)-4+ v^2)*z^2+ (-1)*z^4
9_43,(3*v^2-4*v^4+ 3*v^6-v^8)+ (4*v^2-7*v^4+ 4*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4+ (-v^4)*z^6
9_44,(v^(-2)-2+ 3*v^2-v^4)+ (-2+ 3*v^2-v^4)*z^2+ (v^2)*z^4
9_45,(-v^(-8)+ 2*v^(-6)-2*v^(-4)+ 2*v^(-2))+ (2*v^(-6)-2*v^(-4)+ 2*v^(-2))*z^2+ (-v^(-4))*z^4
9_46,(v^(-6)-v^(-4)-v^(-2)+ 2)+ (-v^(-4)-v^(-2))*z^2
9_47,(1+ v^2-2*v^4+ v^6)+ (-2+ 4*v^2-3*v^4)*z^2+ (-1+ 4*v^2-v^4)*z^4+ (v^2)*z^6
9_48,(-2*v^(-6)+ 3*v^(-4))+ (3*v^(-4)-v^(-2)+ 1)*z^2+ (-v^(-2))*z^4
9_49,(4*v^6-3*v^8)+ (2*v^4+ 6*v^6-2*v^8)*z^2+ (v^4+ 2*v^6)*z^4
10_1,(v^(-2)-v^6+ v^8)+ (-1-v^2-v^4-v^6)*z^2
10_2,(4*v^4-4*v^6+ v^8)+ (10*v^4-14*v^6+ 6*v^8)*z^2+ (6*v^4-16*v^6+ 5*v^8)*z^4+ (v^4-7*v^6+ v^8)*z^6+ (-v^6)*z^8
10_3,(v^(-4)-v^2+ v^6)+ (-v^(-2)-2-2*v^2-v^4)*z^2
10_4,(v^(-4)-2*v^2+ 2*v^4)+ (v^(-4)-2*v^(-2)-2-3*v^2+ v^4)*z^2+ (-v^(-2)-1-v^2)*z^4
10_5,(-3*v^(-6)+ 5*v^(-4)-v^(-2))+ (-7*v^(-6)+ 17*v^(-4)-6*v^(-2))*z^2+ (-5*v^(-6)+ 17*v^(-4)-5*v^(-2))*z^4+ (-v^(-6)+ 7*v^(-4)-v^(-2))*z^6+ (v^(-4))*z^8
10_6,(3*v^2-2*v^4-v^6+ v^8)+ (4*v^2-4*v^4-4*v^6+ 3*v^8)*z^2+ (v^2-4*v^4-4*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_7,(1+ v^4-2*v^6+ v^8)+ (1-v^2-2*v^6+ v^8)*z^2+ (-v^2-v^4-v^6)*z^4
10_8,(3-3*v^2+ v^6)+ (4-7*v^2-3*v^4+ 3*v^6)*z^2+ (1-5*v^2-4*v^4+ v^6)*z^4+ (-v^2-v^4)*z^6
10_9,(3-4*v^2+ 2*v^4)+ (7-16*v^2+ 7*v^4)*z^2+ (5-17*v^2+ 5*v^4)*z^4+ (1-7*v^2+ v^4)*z^6+ (-v^2)*z^8
10_10,(-v^(-6)+ 2*v^(-4)-v^(-2)+ 1)+ (-v^(-6)+ 2*v^(-4)+ 1-v^2)*z^2+ (v^(-4)+ v^(-2)+ 1)*z^4
10_11,(2*v^(-2)-1-v^2+ v^6)+ (v^(-2)-2-4*v^2-v^4+ v^6)*z^2+ (-1-2*v^2-v^4)*z^4
10_12,(-2*v^(-6)+ 2*v^(-4)+ 2*v^(-2)-1)+ (-3*v^(-6)+ 5*v^(-4)+ 5*v^(-2)-3)*z^2+ (-v^(-6)+ 4*v^(-4)+ 4*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_13,(v^(-4)-1+ v^2-v^4+ v^6)+ (-2*v^(-2)-1-2*v^4)*z^2+ (1+ v^2)*z^4
10_14,(v^2+ v^4-v^6)+ (3*v^2-v^4-2*v^6+ 2*v^8)*z^2+ (v^2-3*v^4-3*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_15,(-2*v^(-4)+ 3*v^(-2)+ 1-v^2)+ (-3*v^(-4)+ 5*v^(-2)+ 4-3*v^2)*z^2+ (-v^(-4)+ 4*v^(-2)+ 4-v^2)*z^4+ (v^(-2)+ 1)*z^6
10_16,(v^(-2)+ 1-2*v^2+ v^6)+ (v^(-2)-1-4*v^2-v^4+ v^6)*z^2+ (-1-2*v^2-v^4)*z^4
10_17,(-2*v^(-2)+ 5-2*v^2)+ (-7*v^(-2)+ 16-7*v^2)*z^2+ (-5*v^(-2)+ 17-5*v^2)*z^4+ (-v^(-2)+ 7-v^2)*z^6+ (1)*z^8
10_18,(v^(-2)-v^2+ v^4)+ (v^(-2)-1-3*v^2+ v^6)*z^2+ (-1-2*v^2-v^4)*z^4
10_19,(-v^(-2)+ 3-v^2)+ (-3*v^(-2)+ 5+ v^2-2*v^4)*z^2+ (-v^(-2)+ 4+ 3*v^2-v^4)*z^4+ (1+ v^2)*z^6
10_20,(2-v^2-v^6+ v^8)+ (1-2*v^2-v^4-2*v^6+ v^8)*z^2+ (-v^2-v^4-v^6)*z^4
10_21,(v^2+ 2*v^4-3*v^6+ v^8)+ (3*v^2-5*v^6+ 3*v^8)*z^2+ (v^2-3*v^4-4*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_22,(2*v^(-2)-1-2*v^2+ 2*v^4)+ (3*v^(-2)-5-5*v^2+ 3*v^4)*z^2+ (v^(-2)-4-4*v^2+ v^4)*z^4+ (-1-v^2)*z^6
10_23,(-2*v^(-6)+ 3*v^(-4))+ (-3*v^(-6)+ 6*v^(-4)+ 2*v^(-2)-2)*z^2+ (-v^(-6)+ 4*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_24,(1+ v^2-v^4-v^6+ v^8)+ (1-3*v^4-v^6+ v^8)*z^2+ (-v^2-2*v^4-v^6)*z^4
10_25,(2*v^2-2*v^6+ v^8)+ (3*v^2-2*v^4-3*v^6+ 2*v^8)*z^2+ (v^2-3*v^4-3*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_26,(v^(-2)+ 1-3*v^2+ 2*v^4)+ (2*v^(-2)-2-6*v^2+ 3*v^4)*z^2+ (v^(-2)-3-4*v^2+ v^4)*z^4+ (-1-v^2)*z^6
10_27,(-v^(-6)+ v^(-4)+ v^(-2))+ (-2*v^(-6)+ 3*v^(-4)+ 3*v^(-2)-2)*z^2+ (-v^(-6)+ 3*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_28,(-v^(-6)+ 3*v^(-2)-1)+ (-v^(-6)+ v^(-4)+ 4*v^(-2)-v^2)*z^2+ (v^(-4)+ 2*v^(-2)+ 1)*z^4
10_29,(2*v^(-2)-2+ v^2-v^4+ v^6)+ (v^(-2)-5+ 3*v^2-4*v^4+ v^6)*z^2+ (-2+ 3*v^2-2*v^4)*z^4+ (v^2)*z^6
10_30,(2*v^2-v^4)+ (1+ v^2-2*v^4+ v^8)*z^2+ (-v^2-2*v^4-v^6)*z^4
10_31,(-v^(-4)+ v^(-2)+ 2-v^2)+ (-v^(-4)+ v^(-2)+ 3-v^4)*z^2+ (v^(-2)+ 2+ v^2)*z^4
10_32,(v^(-2)-1+ v^2)+ (2*v^(-2)-3-2*v^2+ 2*v^4)*z^2+ (v^(-2)-3-3*v^2+ v^4)*z^4+ (-1-v^2)*z^6
10_33,(1)+ (-v^(-4)+ 2-v^4)*z^2+ (v^(-2)+ 2+ v^2)*z^4
10_34,(-v^(-6)+ v^(-4)+ 2-v^2)+ (-v^(-6)+ 2*v^(-4)+ v^(-2)+ 2-v^2)*z^2+ (v^(-4)+ v^(-2)+ 1)*z^4
10_35,(v^(-6)-v^(-4)+ 1-v^2+ v^4)+ (-2*v^(-4)-2*v^2)*z^2+ (v^(-2)+ 1)*z^4
10_36,(1-v^2+ 2*v^4-v^6)+ (1-v^2+ v^4-v^6+ v^8)*z^2+ (-v^2-v^4-v^6)*z^4
10_37,(-v^(-4)+ v^(-2)+ 1+ v^2-v^4)+ (-v^(-4)+ v^(-2)+ 3+ v^2-v^4)*z^2+ (v^(-2)+ 2+ v^2)*z^4
10_38,(1+ v^2-2*v^4+ v^6)+ (1-3*v^4+ v^8)*z^2+ (-v^2-2*v^4-v^6)*z^4
10_39,(2*v^2-v^4)+ (3*v^2-2*v^4-2*v^6+ 2*v^8)*z^2+ (v^2-3*v^4-3*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_40,(-v^(-6)+ 3*v^(-2)-1)+ (-2*v^(-6)+ 3*v^(-4)+ 4*v^(-2)-2)*z^2+ (-v^(-6)+ 3*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_41,(v^(-2)-1+ 2*v^2-2*v^4+ v^6)+ (v^(-2)-4+ 4*v^2-4*v^4+ v^6)*z^2+ (-2+ 3*v^2-2*v^4)*z^4+ (v^2)*z^6
10_42,(-v^(-4)+ 3*v^(-2)-2+ v^2)+ (-v^(-4)+ 4*v^(-2)-5+ 3*v^2-v^4)*z^2+ (2*v^(-2)-3+ 2*v^2)*z^4+ (-1)*z^6
10_43,(-v^(-4)+ 2*v^(-2)-1+ 2*v^2-v^4)+ (-v^(-4)+ 4*v^(-2)-4+ 4*v^2-v^4)*z^2+ (2*v^(-2)-3+ 2*v^2)*z^4+ (-1)*z^6
10_44,(v^(-2)-2+ 3*v^2-v^4)+ (v^(-2)-4+ 5*v^2-3*v^4+ v^6)*z^2+ (-2+ 3*v^2-2*v^4)*z^4+ (v^2)*z^6
10_45,(2*v^(-2)-3+ 2*v^2)+ (-v^(-4)+ 3*v^(-2)-6+ 3*v^2-v^4)*z^2+ (2*v^(-2)-3+ 2*v^2)*z^4+ (-1)*z^6
10_46,(6*v^4-8*v^6+ 3*v^8)+ (11*v^4-18*v^6+ 7*v^8)*z^2+ (6*v^4-17*v^6+ 5*v^8)*z^4+ (v^4-7*v^6+ v^8)*z^6+ (-v^6)*z^8
10_47,(-5*v^(-6)+ 9*v^(-4)-3*v^(-2))+ (-8*v^(-6)+ 21*v^(-4)-7*v^(-2))*z^2+ (-5*v^(-6)+ 18*v^(-4)-5*v^(-2))*z^4+ (-v^(-6)+ 7*v^(-4)-v^(-2))*z^6+ (v^(-4))*z^8
10_48,(-4*v^(-2)+ 9-4*v^2)+ (-8*v^(-2)+ 20-8*v^2)*z^2+ (-5*v^(-2)+ 18-5*v^2)*z^4+ (-v^(-2)+ 7-v^2)*z^6+ (1)*z^8
10_49,(v^6+ 5*v^8-7*v^10+ 2*v^12)+ (4*v^6+ 12*v^8-10*v^10+ v^12)*z^2+ (4*v^6+ 9*v^8-3*v^10)*z^4+ (v^6+ 2*v^8)*z^6
10_50,(2*v^2+ v^4-4*v^6+ 2*v^8)+ (3*v^2-v^4-6*v^6+ 3*v^8)*z^2+ (v^2-3*v^4-4*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_51,(-3*v^(-6)+ 4*v^(-4)+ v^(-2)-1)+ (-3*v^(-6)+ 7*v^(-4)+ 3*v^(-2)-2)*z^2+ (-v^(-6)+ 4*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_52,(-2*v^(-2)+ 4-v^4)+ (-3*v^(-2)+ 6+ 2*v^2-2*v^4)*z^2+ (-v^(-2)+ 4+ 3*v^2-v^4)*z^4+ (1+ v^2)*z^6
10_53,(3*v^6-3*v^10+ v^12)+ (v^4+ 6*v^6+ 2*v^8-3*v^10)*z^2+ (v^4+ 3*v^6+ 2*v^8)*z^4
10_54,(-2*v^(-4)+ 2*v^(-2)+ 3-2*v^2)+ (-3*v^(-4)+ 5*v^(-2)+ 5-3*v^2)*z^2+ (-v^(-4)+ 4*v^(-2)+ 4-v^2)*z^4+ (v^(-2)+ 1)*z^6
10_55,(v^4+ v^6+ v^8-3*v^10+ v^12)+ (2*v^4+ 3*v^6+ 3*v^8-3*v^10)*z^2+ (v^4+ 2*v^6+ 2*v^8)*z^4
10_56,(2*v^2-2*v^6+ v^8)+ (3*v^2-2*v^4-3*v^6+ 2*v^8)*z^2+ (v^2-3*v^4-3*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_57,(-2*v^(-6)+ 2*v^(-4)+ 2*v^(-2)-1)+ (-2*v^(-6)+ 4*v^(-4)+ 4*v^(-2)-2)*z^2+ (-v^(-6)+ 3*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_58,(v^(-4)-2+ 3*v^2-2*v^4+ v^6)+ (-2*v^(-2)-2+ 3*v^2-3*v^4)*z^2+ (1+ 2*v^2)*z^4
10_59,(v^(-2)-2+ 4*v^2-3*v^4+ v^6)+ (v^(-2)-4+ 5*v^2-4*v^4+ v^6)*z^2+ (-2+ 3*v^2-2*v^4)*z^4+ (v^2)*z^6
10_60,(v^(-6)-3*v^(-4)+ 4*v^(-2)-2+ v^2)+ (-3*v^(-4)+ 6*v^(-2)-5+ v^2)*z^2+ (3*v^(-2)-3+ v^2)*z^4+ (-1)*z^6
10_61,(4-5*v^2+ v^4+ v^6)+ (4-8*v^2-3*v^4+ 3*v^6)*z^2+ (1-5*v^2-4*v^4+ v^6)*z^4+ (-v^2-v^4)*z^6
10_62,(-4*v^(-6)+ 7*v^(-4)-2*v^(-2))+ (-8*v^(-6)+ 20*v^(-4)-7*v^(-2))*z^2+ (-5*v^(-6)+ 18*v^(-4)-5*v^(-2))*z^4+ (-v^(-6)+ 7*v^(-4)-v^(-2))*z^6+ (v^(-4))*z^8
10_63,(v^4+ 3*v^8-4*v^10+ v^12)+ (2*v^4+ 3*v^6+ 4*v^8-3*v^10)*z^2+ (v^4+ 2*v^6+ 2*v^8)*z^4
10_64,(4-6*v^2+ 3*v^4)+ (8-19*v^2+ 8*v^4)*z^2+ (5-18*v^2+ 5*v^4)*z^4+ (1-7*v^2+ v^4)*z^6+ (-v^2)*z^8
10_65,(-3*v^(-6)+ 5*v^(-4)-v^(-2))+ (-3*v^(-6)+ 7*v^(-4)+ 2*v^(-2)-2)*z^2+ (-v^(-6)+ 4*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_66,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (5*v^6+ 9*v^8-8*v^10+ v^12)*z^2+ (4*v^6+ 8*v^8-3*v^10)*z^4+ (v^6+ 2*v^8)*z^6
10_67,(1)+ (1-2*v^4+ v^8)*z^2+ (-v^2-2*v^4-v^6)*z^4
10_68,(-v^(-6)+ v^(-4)+ v^(-2))+ (-v^(-6)+ v^(-4)+ 3*v^(-2)-v^2)*z^2+ (v^(-4)+ 2*v^(-2)+ 1)*z^4
10_69,(-v^(-8)+ 2*v^(-6)-2*v^(-4)+ 2*v^(-2))+ (3*v^(-6)-5*v^(-4)+ 5*v^(-2)-1)*z^2+ (-3*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-2))*z^6
10_70,(v^(-6)-2*v^(-4)+ 3*v^(-2)-3+ 2*v^2)+ (v^(-6)-4*v^(-4)+ 4*v^(-2)-5+ v^2)*z^2+ (-2*v^(-4)+ 3*v^(-2)-2)*z^4+ (v^(-2))*z^6
10_71,(-v^(-4)+ 3*v^(-2)-3+ 3*v^2-v^4)+ (-v^(-4)+ 4*v^(-2)-5+ 4*v^2-v^4)*z^2+ (2*v^(-2)-3+ 2*v^2)*z^4+ (-1)*z^6
10_72,(2*v^2-2*v^4+ 2*v^6-v^8)+ (3*v^2-3*v^4+ v^6+ v^8)*z^2+ (v^2-3*v^4-2*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_73,(-v^(-8)+ 3*v^(-6)-4*v^(-4)+ 3*v^(-2))+ (3*v^(-6)-6*v^(-4)+ 5*v^(-2)-1)*z^2+ (-3*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-2))*z^6
10_74,(2*v^2-2*v^6+ v^8)+ (1+ v^2-2*v^4-v^6+ v^8)*z^2+ (-v^2-2*v^4-v^6)*z^4
10_75,(v^(-6)-3*v^(-4)+ 3*v^(-2))+ (-3*v^(-4)+ 6*v^(-2)-4+ v^2)*z^2+ (3*v^(-2)-3+ v^2)*z^4+ (-1)*z^6
10_76,(4*v^2-4*v^4+ v^8)+ (4*v^2-6*v^4-2*v^6+ 2*v^8)*z^2+ (v^2-4*v^4-3*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_77,(-v^(-6)-v^(-4)+ 5*v^(-2)-2)+ (-2*v^(-6)+ 2*v^(-4)+ 7*v^(-2)-3)*z^2+ (-v^(-6)+ 3*v^(-4)+ 4*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
